key,red1,red2,red3,blue1,blue2,blue3,red_score,blue_score
2018arc_qm6,5407,1218,6121,4786,2377,2549,284,327
2018arc_qm60,2228,4011,2377,3767,3928,6237,334,375
2018arc_qm61,2202,6968,2620,4776,4909,4541,101,438
2018arc_qm62,1262,7160,5531,2016,2200,4237,204,415
2018arc_qm63,2075,894,1259,5216,4521,5422,336,329
2018arc_qm64,3381,5436,2220,6860,555,4003,313,333
2018arc_qm65,447,6329,2177,3618,1325,7329,305,294
2018arc_qm66,6328,2081,3620,5674,3656,1660,234,410
2018arc_qm67,5913,4786,1218,58,1923,612,335,297
2018arc_qm68,4096,2830,1493,6875,303,1114,205,492
2018arc_qm69,1259,4909,6121,5436,7160,67,282,448
2018arc_qm7,2220,612,4557,2200,1493,4521,361,304
2018arc_qm70,868,4521,870,6237,6968,5531,476,162
2018arc_qm71,3620,694,5216,6329,2200,2377,342,316
2018arc_qm72,555,4786,1325,2202,2075,4392,385,332
2018arc_qm73,894,5413,303,4003,3767,4541,302,442
2018arc_qm74,5407,4776,3656,612,4237,2830,398,324
2018arc_qm75,447,2549,6328,6875,1923,2620,375,389
2018arc_qm76,4557,5422,1660,4011,1756,3618,270,379
2018arc_qm77,2177,2228,5674,1493,2220,1262,116,414
2018arc_qm78,1559,3381,58,2016,1322,1114,218,466
2018arc_qm79,7329,3928,4096,2081,6860,5913,478,216
2018arc_qm8,870,4003,5674,3618,5913,694,346,259
2018arc_qm80,1218,1923,67,3656,5724,5216,443,328
2018arc_qm81,2202,868,5436,3767,3618,3620,367,383
2018arc_qm82,4541,4237,6237,1756,4003,4786,354,352
2018arc_qm83,1660,2200,6875,2228,58,6968,373,337
2018arc_qm84,4096,7160,6329,5422,2620,555,470,184
2018arc_qm85,6121,2016,4392,1259,2177,4011,358,345
2018arc_qm86,2830,2377,1322,7329,5531,5674,420,305
2018arc_qm87,612,3381,6860,1262,894,6328,215,349
2018arc_qm88,1114,5413,4521,694,3928,5724,326,365
2018arc_qm89,2549,5913,2075,303,4776,2220,407,230
2018arc_qm9,3767,1114,2075,1660,4541,6329,297,221
2018arc_qm90,1325,447,870,1218,4909,4557,448,360
2018arc_qm91,1493,2081,4003,1559,5407,5216,355,320
2018arc_qm92,2620,3618,2830,6121,2228,3381,168,416
2018arc_qm93,612,5436,6968,2377,2016,5413,354,512
2018arc_qm94,1114,2177,5531,3656,6860,2549,410,216
2018arc_qm95,1262,4557,5913,4392,4541,1322,294,384
2018arc_qm96,67,7329,2200,303,4237,1660,390,302
2018arc_qm97,1756,694,2220,4909,4096,868,410,233
2018arc_qm98,4776,6875,1559,6329,1259,5724,291,448
2018arc_qm99,3928,2202,7160,894,5674,1218,393,277
2018arc_sf1m1,4557,1114,67,3620,1756,4237,313,527
2018arc_sf1m2,4557,1114,67,3620,1756,4237,348,405
2018arc_sf2m1,1325,694,2016,4541,868,4003,276,438
2018arc_sf2m2,1325,694,2016,4541,868,4003,340,398
2018arli_f1m1,16,3310,7123,364,3937,4576,394,324
2018arli_f1m2,16,3310,7123,364,3937,4576,441,333
2018arli_qf1m1,16,3310,7123,6647,3039,1818,330,169
2018arli_qf1m2,16,3310,7123,6647,3039,1818,456,106
2018arli_qf2m1,323,6055,3337,4400,2992,4523,310,314
2018arli_qf2m2,323,6055,3337,4400,2992,4523,319,249
2018arli_qf2m3,323,6055,3337,4400,2992,4523,320,264
2018arli_qf3m1,364,3937,4576,1764,5550,6474,423,298
2018arli_qf3m2,364,3937,4576,1764,5550,6474,442,279
2018arli_qf4m1,3616,4635,6131,5006,701,5437,362,295
2018arli_qf4m2,3616,4635,6131,5006,701,5437,426,371
2018arli_qm1,4523,7066,6055,4209,3937,1912,160,317
2018arli_qm10,6640,4209,5729,5178,4400,7106,241,260
2018arli_qm11,4523,4005,3160,7263,6840,2773,382,129
2018arli_qm12,31,7260,7066,364,6492,3991,134,394
2018arli_qm13,3937,5550,7123,2395,2080,6855,334,127
2018arli_qm14,2183,5568,1764,6055,701,6647,214,264
2018arli_qm15,5437,1700,4576,323,6186,4635,75,347
2018arli_qm16,3039,1209,2992,6586,6640,7075,368,55
2018arli_qm17,1818,1912,4403,34,5002,16,20,371
2018arli_qm18,5454,6474,5006,5721,3337,3616,216,239
2018arli_qm19,2080,3160,6131,3310,6855,2183,214,419
2018arli_qm2,3991,7106,4403,4005,2395,6840,179,10
2018arli_qm20,701,3991,5178,7106,6647,3937,252,428
2018arli_qm21,5550,6840,3039,364,2773,323,95,302
2018arli_qm22,4635,34,5437,7260,7263,6055,436,88
2018arli_qm23,6186,3616,5729,7123,2992,4523,248,198
2018arli_qm24,16,1912,1209,31,6474,3310,263,375
2018arli_qm25,1818,2395,4400,7066,5721,6131,333,233
2018arli_qm26,5568,3337,1700,7075,4576,4005,251,39
2018arli_qm27,6492,1764,6586,5006,5002,4209,187,233
2018arli_qm28,6640,4403,364,5454,5437,3616,278,183
2018arli_qm29,7106,2183,3039,34,1912,7263,300,208
2018arli_qm3,2773,5178,1818,2080,2992,5568,113,344
2018arli_qm30,7123,6840,2080,6474,4635,5729,117,302
2018arli_qm31,6131,2992,3991,1209,5568,5721,408,75
2018arli_qm32,3937,5002,701,4400,31,4005,232,204
2018arli_qm33,5178,6186,1700,1764,5454,1818,163,358
2018arli_qm34,323,6855,7066,5006,6640,3337,129,253
2018arli_qm35,4209,6055,7075,2773,4403,3160,233,112
2018arli_qm36,6586,2395,3310,4576,4523,7260,397,235
2018arli_qm37,5437,5550,16,6492,6647,6131,326,83
2018arli_qm38,3616,2992,3937,4635,3039,1912,384,229
2018arli_qm39,2183,5721,6840,6855,6640,5568,475,278
2018arli_qm4,16,3310,4400,1700,34,5006,443,140
2018arli_qm40,7075,1700,5454,7123,7263,5002,125,172
2018arli_qm41,6055,323,2395,364,6586,2080,342,337
2018arli_qm42,701,4523,4403,16,6492,3337,324,303
2018arli_qm43,4209,3310,5550,3991,4005,1818,370,207
2018arli_qm44,7260,2773,6186,5729,5006,6647,90,420
2018arli_qm45,4400,4576,34,1764,5178,1209,211,274
2018arli_qm46,3160,7066,6474,31,7106,5437,254,191
2018arli_qm47,2395,3337,5002,2992,6055,6640,124,413
2018arli_qm48,323,4403,7123,2183,3937,6131,268,146
2018arli_qm49,16,6586,4209,5729,364,6855,282,426
2018arli_qm5,5729,7263,7075,3616,5550,323,58,354
2018arli_qm50,6840,4635,3991,7075,4400,6186,310,242
2018arli_qm51,34,31,1764,2773,5568,5454,311,177
2018arli_qm52,5721,5178,6492,3310,3039,7263,89,411
2018arli_qm53,4005,7260,6647,1912,2080,4576,232,266
2018arli_qm54,3616,5006,1818,3160,1209,7106,353,41
2018arli_qm55,7066,1700,701,5550,4523,6474,293,450
2018arli_qm56,3337,364,4209,6186,2183,34,480,202
2018arli_qm57,6855,6055,5454,4400,5729,6492,412,193
2018arli_qm58,7075,5721,2773,3937,16,7260,191,526
2018arli_qm59,323,4005,6640,6647,1818,4635,408,293
2018arli_qm6,7260,6131,364,4576,3160,1764,468,138
2018arli_qm60,1912,31,1700,6131,4403,6586,178,227
2018arli_qm61,7263,6474,2992,3991,1764,2395,289,352
2018arli_qm62,3160,7123,5006,3039,701,4576,283,351
2018arli_qm63,3310,5178,3616,5002,6840,7066,431,155
2018arli_qm64,1209,2080,5437,5568,7106,4523,297,311
2018arli_qm65,1818,7260,5550,3337,2183,6055,270,363
2018arli_qm66,6647,364,7263,4403,3937,6474,213,373
2018arli_qm67,5454,4005,5729,6131,34,3039,269,330
2018arli_qm68,4576,4209,5721,6840,7075,31,341,145
2018arli_qm69,2773,4400,7123,5437,6586,1912,295,332
2018arli_qm7,6647,7123,3337,6492,1209,31,116,220
2018arli_qm70,2992,6855,1764,7106,323,3310,275,178
2018arli_qm71,3616,6492,5568,2395,6186,16,218,419
2018arli_qm72,5550,4635,1209,5002,3160,5178,369,264
2018arli_qm73,2080,5006,701,1700,3991,6640,378,157
2018arli_qm74,4523,7075,6647,7066,1818,364,206,430
2018arli_qm75,3337,5729,3937,1764,3310,5437,284,430
2018arli_qm76,5568,323,4400,6474,7123,7260,277,250
2018arli_qm77,7106,4576,6840,2992,16,5454,237,285
